name,x,y,M872956_JML_Position8_CD4_img,M872956_JML_Position8_CD3_img
Cell_1,495.4621848739496,6.773109243697479,42.26470588235294,36.21008403361345
Cell_2,727.4473684210526,5.073684210526316,19.642105263157895,4.989473684210527
Cell_3,249.77941176470588,5.455882352941177,44.294117647058826,3.8823529411764706
Cell_4,332.64864864864865,6.396396396396397,36.77477477477478,0.0
Cell_5,608.6904761904761,6.773809523809524,46.80952380952381,15.047619047619047
Cell_6,228.1764705882353,7.777777777777778,20.38562091503268,0.8562091503267973
Cell_7,240.65346534653466,10.01980198019802,70.14851485148515,29.376237623762375
Cell_8,268.04545454545456,7.9393939393939394,11.469696969696969,27.803030303030305
Cell_9,454.403125,13.796875,14.96875,1.428125
Cell_10,532.7783018867924,16.507075471698112,38.33490566037736,10.483490566037736
Cell_11,336.3623188405797,19.942028985507246,21.698067632850243,0.08454106280193237
Cell_12,683.8782051282051,16.403846153846153,10.737179487179487,154.44230769230768
Cell_13,863.828,15.912,11.944,0.044
Cell_14,555.9386281588447,18.815884476534297,47.28158844765343,6.303249097472924
Cell_15,255.43478260869566,26.354691075514875,19.62700228832952,0.6155606407322655
Cell_16,423.4122562674095,29.944289693593316,92.63788300835654,165.66295264623955
Cell_17,576.1704545454545,23.272727272727273,32.51136363636363,32.64772727272727
Cell_18,395.55056179775283,26.96629213483146,33.96067415730337,0.38202247191011235
Cell_19,45.52256532066508,29.909738717339668,39.43230403800475,0.021377672209026127
Cell_20,443.8709677419355,27.49462365591398,20.666666666666668,9.268817204301076
Cell_21,486.2135416666667,33.2421875,26.395833333333332,12.09375
Cell_22,88.24754901960785,39.627450980392155,36.1985294117647,0.0
Cell_23,181.18495297805643,40.76802507836991,26.82758620689655,3.1630094043887147
Cell_24,376.93074792243766,38.93905817174515,88.2354570637119,0.5429362880886427
Cell_25,705.4818652849741,35.6580310880829,33.751295336787564,8.782383419689118
Cell_26,641.1143617021277,43.58244680851064,46.172872340425535,67.04521276595744
Cell_27,815.8005540166205,47.38227146814405,19.0387811634349,1.2880886426592797
Cell_28,551.3625866050809,46.92378752886836,124.42032332563511,0.5381062355658198
Cell_29,331.1777777777778,48.753535353535355,36.5979797979798,8.27070707070707
Cell_30,589.3643410852713,45.23255813953488,14.589147286821705,1.0775193798449612
Cell_31,989.5975609756098,53.08130081300813,10.28048780487805,0.43902439024390244
Cell_32,174.05135951661632,56.036253776435046,69.3987915407855,94.80060422960725
Cell_33,472.4489247311828,55.895161290322584,53.263440860215056,26.1747311827957
Cell_34,872.5642458100559,53.22346368715084,10.547486033519553,0.2737430167597765
Cell_35,314.4043321299639,58.75812274368231,97.5884476534296,167.75812274368232
Cell_36,700.0058479532164,56.69590643274854,45.80994152046784,57.62280701754386
Cell_37,611.9878419452888,58.18541033434651,26.009118541033434,1.1671732522796352
Cell_38,19.972602739726028,59.11643835616438,12.801369863013699,0.0
Cell_39,253.88916876574308,61.924433249370274,71.00503778337531,116.86146095717883
Cell_40,836.203125,59.489583333333336,18.354166666666668,0.22395833333333334
Cell_41,655.1945701357466,64.6470588235294,38.90950226244344,8.886877828054299
Cell_42,487.9727626459144,63.55642023346304,75.36964980544747,33.478599221789885
Cell_43,422.8820224719101,66.69662921348315,28.8876404494382,40.17977528089887
Cell_44,400.95681818181816,70.23409090909091,143.7840909090909,162.4181818181818
Cell_45,718.5955882352941,67.01470588235294,25.71323529411765,23.926470588235293
Cell_46,846.1743421052631,72.47039473684211,12.700657894736842,0.046052631578947366
Cell_47,671.8737864077669,71.7799352750809,106.95145631067962,159.7411003236246
Cell_48,598.8095238095239,73.82380952380953,88.62857142857143,33.647619047619045
Cell_49,638.3354838709678,75.87741935483871,81.93548387096774,10.012903225806452
Cell_50,813.9537037037037,78.7253086419753,13.280864197530864,14.62962962962963
Cell_51,949.3284671532847,74.03649635036497,17.226277372262775,0.1897810218978102
Cell_52,313.5964912280702,71.85964912280701,38.75438596491228,3.9298245614035086
Cell_53,279.5345911949685,75.67924528301887,31.80503144654088,0.08176100628930817
Cell_54,329.9559322033898,79.54237288135593,60.159322033898306,89.81694915254238
Cell_55,869.9379310344827,76.71034482758621,12.23448275862069,0.013793103448275862
Cell_56,778.5995670995671,82.42207792207792,64.89177489177489,83.12337662337663
Cell_57,515.3221083455344,84.71595900439239,141.21815519765738,107.08638360175695
Cell_58,725.3519417475728,84.50970873786407,91.52669902912622,113.33980582524272
Cell_59,568.1059602649007,81.27152317880795,9.066225165562914,19.834437086092716
Cell_60,547.281954887218,91.7406015037594,17.13157894736842,6.319548872180451
Cell_61,207.60626398210292,96.04474272930649,15.706935123042506,8.425055928411632
Cell_62,491.4335260115607,92.52023121387283,94.86127167630057,50.9364161849711
Cell_63,688.7912087912088,93.63736263736264,64.51648351648352,91.86813186813187
Cell_64,646.12890625,96.3359375,18.6640625,14.77734375
Cell_65,387.9401408450704,98.38028169014085,22.028169014084508,0.03873239436619718
Cell_66,173.1491525423729,99.66779661016949,51.264406779661016,70.02372881355932
Cell_67,903.4549763033175,99.34597156398104,9.928909952606634,0.037914691943127965
Cell_68,568.6365348399247,105.86064030131827,156.0225988700565,140.60263653483992
Cell_69,46.582840236686394,108.49112426035504,85.8224852071006,142.9526627218935
Cell_70,601.6138996138997,108.62934362934362,31.617760617760617,54.196911196911195
Cell_71,679.9918367346938,108.11836734693877,117.68571428571428,176.29387755102042
Cell_72,820.0892307692308,110.40307692307692,7.898461538461539,20.8
Cell_73,354.39669421487605,108.27272727272727,18.834710743801654,0.0
Cell_74,22.615560640732266,119.21967963386727,28.897025171624716,16.105263157894736
Cell_75,1038.7868852459017,113.08743169398907,13.584699453551913,0.43169398907103823
Cell_76,699.1933962264151,111.9245283018868,17.608490566037737,7.90566037735849
