Unnamed: 0,size,center_x,center_y,min_dist
Cell_371,204.0,402.0,664.0,1876.994672341933
Cell_372,204.0,402.5,169.5,2054.90693219912
Cell_373,250.0,403.0,217.0,2033.0865697259426
Cell_374,169.0,400.5,582.0,1901.781598922442
Cell_375,367.0,407.5,242.0,2018.1331100797092
Cell_376,79.0,403.5,11.5,2131.2208942294087
Cell_377,219.0,407.5,97.0,2084.8204359128868
Cell_378,193.0,407.0,852.0,1831.2580375250234
Cell_379,417.0,415.5,321.0,1977.9838851719699
Cell_380,174.0,407.5,300.0,1993.7876642210424
Cell_381,341.0,409.0,482.5,1925.1730441703155
Cell_382,244.0,414.0,531.0,1905.0774262480777
Cell_383,177.0,408.5,633.0,1879.2009605148673
Cell_384,68.0,405.5,108.0,2081.2331080395584
Cell_385,209.0,412.0,455.0,1931.5330698696307
Cell_386,223.0,408.0,693.0,1863.7167166712863
Cell_387,328.0,411.5,653.5,1870.6567028720156
Cell_388,144.0,408.0,1014.0,1809.9792816493784
Cell_389,465.0,413.5,572.0,1892.491281353761
Cell_390,259.0,412.0,729.0,1851.1142590342715
Cell_391,166.0,411.0,800.5,1836.7256871944705
Cell_392,143.0,414.5,182.5,2038.286657955647
Cell_393,133.0,413.5,195.5,2033.2772806481657
Cell_394,201.0,414.0,680.5,1861.097592819893
Cell_395,154.0,415.0,31.0,2111.3249394633694
Cell_396,184.0,414.5,786.0,1836.2002205641954
Cell_397,237.0,417.5,89.0,2080.0207330697453
Cell_398,176.0,416.5,849.0,1822.4061704241456
Cell_399,235.0,419.0,218.5,2018.0711706974064
Cell_400,134.0,416.5,378.5,1954.7435893231623
Cell_401,270.0,419.5,396.5,1945.2620646072344
Cell_402,172.0,422.0,547.5,1892.2162270734284
Cell_403,268.0,423.5,720.5,1841.948017724713
Cell_404,99.0,420.5,625.5,1869.8215155463367
Cell_405,191.0,425.0,818.5,1819.5261058858155
Cell_406,153.0,425.5,986.5,1795.0020891352744
Cell_407,284.0,430.5,175.0,2027.5231811251874
Cell_408,214.0,431.0,162.0,2033.1281317221499
Cell_409,183.0,428.5,768.0,1826.2861906064998
Cell_410,171.0,429.0,356.0,1951.7812377415662
Cell_411,185.0,429.0,749.5,1829.8691893138155
Cell_412,132.0,430.5,852.5,1808.0139656540266
Cell_413,314.0,433.0,865.5,1803.3749610106047
Cell_414,338.0,436.5,519.5,1887.2505133129519
Cell_415,151.0,433.5,1118.5,1779.0077290444806
Cell_416,166.0,432.5,74.5,2074.199243081532
Cell_417,290.0,436.5,132.0,2042.5066095364293
Cell_418,202.0,434.0,228.5,2000.1940530858499
Cell_419,656.0,441.5,319.5,1954.7952578211357
Cell_420,384.0,439.0,432.5,1914.0536173263276
Cell_421,178.0,434.5,685.0,1840.1310415293797
Cell_422,142.0,434.5,958.5,1788.9976243695799
Cell_423,280.0,436.5,1053.0,1778.7816757545036
Cell_424,221.0,436.5,98.5,2058.8060860605597
Cell_425,101.0,436.5,604.5,1860.6699062434475
Cell_426,159.0,437.0,585.5,1865.9649648372288
Cell_427,99.0,435.5,645.5,1849.7817438822344
Cell_428,144.0,436.0,274.5,1978.4706846450872
Cell_429,187.0,439.5,351.0,1944.0617917134218
Cell_430,122.0,440.5,711.0,1827.7615407924525
Cell_431,156.0,440.5,84.0,2062.522060488081
Cell_432,179.0,443.0,702.0,1827.5781789023417
Cell_433,218.0,445.0,681.0,1831.0349532436567
Cell_434,218.0,445.5,548.5,1869.6733671954576
Cell_435,174.0,445.5,568.5,1863.2172444457462
Cell_436,245.0,446.0,193.0,2005.4735101716003
Cell_437,203.0,447.0,743.0,1813.8216560621388
Cell_438,119.0,447.5,1042.5,1768.4746252067062
Cell_439,60.0,445.5,1066.5,1769.0258618799216
Cell_440,197.0,449.5,885.5,1783.9020432747982
Cell_441,90.0,447.5,13.0,2092.8880165933388
Cell_442,149.0,448.0,763.0,1808.3417818543041
Cell_443,106.0,450.5,1052.5,1764.838377869203
Cell_444,170.0,451.5,228.0,1984.7360655764787
Cell_445,235.0,452.0,724.5,1813.3207796746829
Cell_446,403.0,454.0,954.0,1770.1449093223978
Cell_447,220.0,453.5,649.5,1831.3804902313445
Cell_448,229.0,454.0,274.0,1962.3957297140655
Cell_449,179.0,453.0,365.5,1925.9754022312954
Cell_450,116.0,451.5,825.5,1792.1831658622395
Cell_451,41.0,449.5,873.5,1785.7946410491886
Cell_452,198.0,453.0,28.0,2080.3485284922813
Cell_453,167.0,456.0,138.0,2022.5254015710161
Cell_454,261.0,457.0,387.5,1913.8420128108799
Cell_455,209.0,460.0,516.5,1865.9143201122606
Cell_456,189.0,456.5,402.0,1908.85652944374
Cell_457,185.0,459.0,76.5,2050.2910159292023
Cell_458,136.0,458.0,609.5,1838.6593621440595
Cell_459,211.0,461.0,308.0,1941.7296413249708
Cell_460,147.0,459.0,870.0,1776.9890264151886
Cell_461,151.0,459.5,932.0,1767.398441212394
Cell_462,121.0,458.0,65.0,2056.989061711316
Cell_463,226.0,462.5,106.5,2032.2481393766855
Cell_464,208.0,460.0,146.5,2014.9308300782932
Cell_465,103.0,458.0,198.5,1992.2876925785592
Cell_466,189.0,460.0,808.0,1787.2081579939143
Cell_467,297.0,464.5,377.5,1910.7308811028308
Cell_468,292.0,467.0,345.5,1920.9834070079835
Cell_469,260.0,468.5,458.5,1877.2880705954533
Cell_470,222.0,465.5,479.5,1872.8930829067633
Cell_471,68.0,464.5,706.0,1805.763342744558
Cell_472,421.0,472.5,417.0,1888.4375155138175
Cell_473,197.0,470.0,253.5,1956.8608151833384
Cell_474,205.0,471.5,300.0,1935.5260912733777
Cell_475,222.0,472.0,551.0,1843.7407626887245
Cell_476,308.0,471.5,657.5,1811.8643713037684
Cell_477,301.0,476.5,1042.5,1739.5408877057187
Cell_478,252.0,476.0,126.5,2010.6432428454332
Cell_479,143.0,477.5,139.5,2002.9858961061109
Cell_480,313.0,480.0,787.0,1771.9198627477485
Cell_481,280.0,478.0,268.0,1943.3283304681172
Cell_482,225.0,480.0,286.5,1933.5475815195239
Cell_483,187.0,480.0,360.0,1903.2900462094578
Cell_484,254.0,479.5,627.5,1812.7819780657574
Cell_485,190.0,479.0,1088.5,1734.5158546407122
Cell_486,235.0,482.0,247.5,1948.7447883188809
Cell_487,134.0,477.5,375.5,1899.514806470326
Cell_488,194.0,481.0,817.0,1764.8504185907655
Cell_489,500.0,482.5,972.0,1739.7963242862654
Cell_490,294.0,485.5,149.0,1991.381994997444
Cell_491,178.0,481.5,1001.5,1737.8350036755503
Cell_492,89.0,483.0,95.5,2019.9829826015862
Cell_493,291.0,487.0,501.5,1845.2677989928725
Cell_494,143.0,482.5,705.5,1788.4771455067576
Cell_495,189.0,487.0,909.0,1743.3097831423995
Cell_496,313.0,487.0,18.5,2056.4559927214586
Cell_497,199.0,486.5,59.5,2035.358567918685
Cell_498,129.0,485.5,225.0,1955.722436850383
Cell_499,250.0,488.5,749.5,1771.943706780777
Cell_500,170.0,486.5,213.5,1960.082268681598
Cell_501,298.0,491.5,373.5,1887.4036399244333
Cell_502,182.0,490.0,132.5,1995.5010022548222
Cell_503,306.0,491.0,940.0,1735.1316952900145
Cell_504,276.0,494.0,430.0,1863.664401119472
Cell_505,275.0,494.0,634.5,1796.8656738888415
Cell_506,363.0,492.0,869.0,1744.609985068296
Cell_507,146.0,491.0,553.0,1825.039451628375
Cell_508,202.0,494.5,380.5,1881.908207113195
Cell_509,177.0,495.0,447.5,1856.3887658569797
Cell_510,202.0,493.5,613.5,1803.6070802699794
Cell_511,350.0,499.0,579.0,1809.1691463210398
Cell_512,467.0,505.5,930.5,1721.9966608562283
Cell_513,83.0,502.0,1090.0,1711.4733418899634
Cell_514,197.0,502.0,58.0,2022.894213744258
Cell_515,109.0,500.0,821.0,1745.4351892866146
Cell_516,358.0,507.0,98.0,1998.0155154552729
Cell_517,68.0,502.0,354.5,1885.311181211208
Cell_518,171.0,507.5,545.0,1811.8344985124884
Cell_519,167.0,507.0,852.5,1732.6849829094729
Cell_520,131.0,506.0,886.0,1728.0222799489595
Cell_521,524.0,517.0,405.0,1851.6978695240755
Cell_522,578.0,520.0,673.5,1760.8294210399824
Cell_523,122.0,509.0,769.5,1747.421314394442
Cell_524,188.0,511.5,1024.5,1705.9696656154235
Cell_525,273.0,512.5,788.5,1739.8438148293656
Cell_526,151.0,515.5,6.0,2039.143263726215
Cell_527,223.0,513.0,262.5,1914.3080342515411
Cell_528,170.0,514.5,330.0,1883.9244278898238
Cell_529,105.0,514.0,642.0,1775.5463947754224
Cell_530,196.0,514.5,577.5,1794.9870473070273
Cell_531,170.0,519.0,553.0,1798.4106872458249
Cell_532,184.0,517.0,841.0,1724.9420280113764
Cell_533,263.0,518.0,873.5,1718.2235739274445
Cell_534,235.0,519.0,236.0,1920.887815568624
Cell_535,338.0,524.0,763.0,1734.2860202400295
Cell_536,159.0,518.0,282.5,1901.0076933037383
Cell_537,158.0,521.5,1071.5,1692.8675376413833
Cell_538,89.0,520.0,68.5,2002.0600015983537
Cell_539,204.0,525.0,462.5,1823.0082967446967
Cell_540,235.0,526.0,144.5,1958.2635803180326
Cell_541,247.0,523.0,206.5,1931.001618331792
Cell_542,87.0,522.5,539.5,1799.342240931391
Cell_543,306.0,528.5,371.0,1854.4174961426565
Cell_544,88.0,523.0,715.0,1746.8935285242774
Cell_545,141.0,525.5,647.5,1762.9420013148476
Cell_546,279.0,529.0,801.0,1721.0720496248841
Cell_547,242.0,531.0,221.5,1916.919729670494
Cell_548,336.0,531.5,60.0,1996.7276354074934
Cell_549,120.0,529.5,778.0,1725.5420162951698
Cell_550,133.0,529.5,915.0,1700.3888525863724
Cell_551,329.0,533.5,249.0,1902.0584244444228
